Date,Time,CO (ppm),NO2 (ppm),CO2 (ppm),TVOC (ppb),PM1 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),Temperature (C),Humidity (%),Sound (dB),Activity
04-09-2024,19:38:03,$,$,400,0,55,76,80,34.7,18.3,53.76,No Cooking
04-09-2024,19:38:08,$,$,400,0,54,76,80,34.6,18.3,50.65,No Cooking
04-09-2024,19:38:14,$,$,400,0,55,77,81,34.6,18.3,51.74,No Cooking
04-09-2024,19:38:19,$,$,400,0,54,76,81,34.6,18.3,51.26,No Cooking
04-09-2024,19:38:25,$,$,400,0,54,76,81,34.6,18.2,50.43,No Cooking
04-09-2024,19:38:31,$,$,400,0,55,78,82,34.6,18.2,52.3,No Cooking
04-09-2024,19:38:36,$,$,400,0,55,78,81,34.6,18.3,53.06,No Cooking
04-09-2024,19:38:42,$,$,400,0,55,78,81,34.6,18.2,56.65,No Cooking
04-09-2024,19:38:47,$,$,400,0,55,77,81,34.6,18.3,51.14,No Cooking
04-09-2024,19:38:53,$,$,400,0,54,76,80,34.6,18.2,55.94,No Cooking
04-09-2024,19:38:58,$,$,400,0,55,77,81,34.6,18.2,56.65,No Cooking
04-09-2024,19:39:04,$,$,400,0,55,76,81,34.6,18.2,51.86,No Cooking
04-09-2024,19:39:10,$,$,400,0,55,76,81,34.6,18.2,50.99,No Cooking
04-09-2024,19:39:15,$,$,400,0,54,75,80,34.6,18.2,53.91,No Cooking
04-09-2024,19:39:21,$,$,400,0,55,75,80,34.6,18.2,52.45,No Cooking
04-09-2024,19:39:26,$,$,400,0,55,75,80,34.5,18.2,51.9,No Cooking
04-09-2024,19:39:32,$,$,400,0,56,77,81,34.6,18.2,54.51,No Cooking
04-09-2024,19:39:37,$,$,400,0,55,76,80,34.6,18.2,56.42,No Cooking
04-09-2024,19:39:43,$,$,400,0,57,77,81,34.6,18.2,53.27,No Cooking
04-09-2024,19:39:49,$,$,400,0,56,76,80,34.6,18.2,52.26,No Cooking
